name,place,X,Y
Delhi,town,-84.6052225,39.0950595
Milford,town,-84.2958988,39.174625
Covington,town,-84.508371,39.0836224
Harrison,town,-84.8199516,39.2619993
Cincinnati,city,-84.5124602,39.1014537
Springdale,town,-84.4852213,39.287002
Sycamore,town,-84.347427,39.2800883
Norwood,town,-84.4596641,39.1556149
Loveland,town,-84.2638406,39.2689562
Fort Thomas,town,-84.4483432,39.0786242
Saint Bernard,town,-84.4985541,39.1670033
Montgomery,town,-84.3539662,39.2282432
Forest Park,town,-84.5041108,39.2903353
Blue Ash,town,-84.3782817,39.2320073
Ludlow,town,-84.5474435,39.0925598
Sharonville,town,-84.4132779,39.2681145
Reading,town,-84.4421641,39.2236694
Bellevue,town,-84.4826482,39.1067078
Newport,town,-84.4919524,39.0889469
